task_index,condition_code,replicate,run,seed,experiment_directory
27,HHHLHHL-Z,R01,1,12547683864962871281,HHHLHHL-Z
28,HHHLHHL-Z,R02,2,8542219897089858512,HHHLHHL-Z
29,HHHLHHL-Z,R03,3,9517331188071268257,HHHLHHL-Z
30,HHHLHLH-Z,R01,1,15965173726224279259,HHHLHLH-Z
31,HHHLHLH-Z,R02,2,5905655470850905633,HHHLHLH-Z
32,HHHLHLH-Z,R03,3,6257793727655040052,HHHLHLH-Z
33,HHHLHLL-Z,R01,1,11895928781872096241,HHHLHLL-Z
34,HHHLHLL-Z,R02,2,8131240926108600039,HHHLHLL-Z
35,HHHLHLL-Z,R03,3,593452523397991222,HHHLHLL-Z
36,HHHLLHH-Z,R01,1,12847591374706248621,HHHLLHH-Z
37,HHHLLHH-Z,R02,2,15640282955198683034,HHHLLHH-Z
38,HHHLLHH-Z,R03,3,5453739033117675497,HHHLLHH-Z
39,HHHLLHL-Z,R01,1,13182432893197945572,HHHLLHL-Z
40,HHHLLHL-Z,R02,2,6272070825737352321,HHHLLHL-Z
41,HHHLLHL-Z,R03,3,15513925292434168879,HHHLLHL-Z
42,HHHLLLH-Z,R01,1,4557269218106977702,HHHLLLH-Z
43,HHHLLLH-Z,R02,2,17173336967489697238,HHHLLLH-Z
44,HHHLLLH-Z,R03,3,5414608026792496405,HHHLLLH-Z
45,HHHLLLL-Z,R01,1,14804021641593156175,HHHLLLL-Z
46,HHHLLLL-Z,R02,2,17674061430814240828,HHHLLLL-Z
47,HHHLLLL-Z,R03,3,721161071496461531,HHHLLLL-Z
48,HHLHHHH-Z,R01,1,6777498741312465430,HHLHHHH-Z
49,HHLHHHH-Z,R02,2,2864580110382983013,HHLHHHH-Z
50,HHLHHHH-Z,R03,3,10507565101462724038,HHLHHHH-Z
51,HHLHHHL-Z,R01,1,4023096239727648050,HHLHHHL-Z
52,HHLHHHL-Z,R02,2,5868670213868257950,HHLHHHL-Z
53,HHLHHHL-Z,R03,3,6698990195346487895,HHLHHHL-Z
54,HHLHHLH-Z,R01,1,5114438043094596193,HHLHHLH-Z
55,HHLHHLH-Z,R02,2,1914076886345388573,HHLHHLH-Z
56,HHLHHLH-Z,R03,3,978545202244953413,HHLHHLH-Z
57,HHLHHLL-Z,R01,1,4576761033127677513,HHLHHLL-Z
58,HHLHHLL-Z,R02,2,13794052343800745752,HHLHHLL-Z
59,HHLHHLL-Z,R03,3,16662816429712694920,HHLHHLL-Z
60,HHLHLHH-Z,R01,1,10873243888778026291,HHLHLHH-Z
61,HHLHLHH-Z,R02,2,14110077414123922046,HHLHLHH-Z
62,HHLHLHH-Z,R03,3,11623921041217483486,HHLHLHH-Z
63,HHLHLHL-Z,R01,1,10318810851695646463,HHLHLHL-Z
64,HHLHLHL-Z,R02,2,3810221852654395294,HHLHLHL-Z
65,HHLHLHL-Z,R03,3,8399693913202421080,HHLHLHL-Z
66,HHLHLLH-Z,R01,1,10688587826988309684,HHLHLLH-Z
67,HHLHLLH-Z,R02,2,14962295348960769828,HHLHLLH-Z
68,HHLHLLH-Z,R03,3,16488124321061855563,HHLHLLH-Z
69,HHLHLLL-Z,R01,1,15675870892839448286,HHLHLLL-Z
70,HHLHLLL-Z,R02,2,18277035016186903235,HHLHLLL-Z
71,HHLHLLL-Z,R03,3,11042634812234714464,HHLHLLL-Z
72,HHLLHHH-Z,R01,1,14079567583724855234,HHLLHHH-Z
73,HHLLHHH-Z,R02,2,15827694458497958539,HHLLHHH-Z
74,HHLLHHH-Z,R03,3,7803161892413742658,HHLLHHH-Z
75,HHLLHHL-Z,R01,1,12076806953446729526,HHLLHHL-Z
76,HHLLHHL-Z,R02,2,9271219356608681524,HHLLHHL-Z
77,HHLLHHL-Z,R03,3,13830238675009102237,HHLLHHL-Z
78,HHLLHLH-Z,R01,1,15131407235152583861,HHLLHLH-Z
79,HHLLHLH-Z,R02,2,13556021163427324572,HHLLHLH-Z
80,HHLLHLH-Z,R03,3,16470292253930322316,HHLLHLH-Z
81,HHLLHLL-Z,R01,1,16020822861598618827,HHLLHLL-Z
82,HHLLHLL-Z,R02,2,5260380447167011870,HHLLHLL-Z
83,HHLLHLL-Z,R03,3,3534880167498163530,HHLLHLL-Z
84,HHLLLHH-Z,R01,1,14684092901969434719,HHLLLHH-Z
85,HHLLLHH-Z,R02,2,7480698107133455603,HHLLLHH-Z
86,HHLLLHH-Z,R03,3,9995982643885343643,HHLLLHH-Z
87,HHLLLHL-Z,R01,1,2524313704313339771,HHLLLHL-Z
88,HHLLLHL-Z,R02,2,385325663758224163,HHLLLHL-Z
89,HHLLLHL-Z,R03,3,16312054294712169721,HHLLLHL-Z
90,HHLLLLH-Z,R01,1,1967607959723730473,HHLLLLH-Z
91,HHLLLLH-Z,R02,2,15381590662302207152,HHLLLLH-Z
92,HHLLLLH-Z,R03,3,7133055201034847435,HHLLLLH-Z
93,HHLLLLL-Z,R01,1,5729860774918049878,HHLLLLL-Z
94,HHLLLLL-Z,R02,2,13038426345799323475,HHLLLLL-Z
95,HHLLLLL-Z,R03,3,5463065346683670505,HHLLLLL-Z
96,HLHHHHH-Z,R01,1,16295377730703794264,HLHHHHH-Z
97,HLHHHHH-Z,R02,2,7124338126413568115,HLHHHHH-Z
98,HLHHHHH-Z,R03,3,14889387566630772691,HLHHHHH-Z
99,HLHHHHL-Z,R01,1,4867252123259316017,HLHHHHL-Z
100,HLHHHHL-Z,R02,2,17906676678897281413,HLHHHHL-Z
101,HLHHHHL-Z,R03,3,4601817636378451632,HLHHHHL-Z
102,HLHHHLH-Z,R01,1,2877346697392883486,HLHHHLH-Z
103,HLHHHLH-Z,R02,2,13904345759867992978,HLHHHLH-Z
104,HLHHHLH-Z,R03,3,11490397086826085362,HLHHHLH-Z
105,HLHHHLL-Z,R01,1,16185519344212482496,HLHHHLL-Z
106,HLHHHLL-Z,R02,2,12362010480199739582,HLHHHLL-Z
107,HLHHHLL-Z,R03,3,15650023144532800707,HLHHHLL-Z
108,HLHHLHH-Z,R01,1,13739631403583290164,HLHHLHH-Z
109,HLHHLHH-Z,R02,2,14818681571273024370,HLHHLHH-Z
110,HLHHLHH-Z,R03,3,17190368211231943955,HLHHLHH-Z
111,HLHHLHL-Z,R01,1,9427768503820078685,HLHHLHL-Z
112,HLHHLHL-Z,R02,2,13293411013377023874,HLHHLHL-Z
113,HLHHLHL-Z,R03,3,12623513676431258508,HLHHLHL-Z
114,HLHHLLH-Z,R01,1,1082163947939865240,HLHHLLH-Z
115,HLHHLLH-Z,R02,2,14325505400414463135,HLHHLLH-Z
116,HLHHLLH-Z,R03,3,17674923300576800941,HLHHLLH-Z
117,HLHHLLL-Z,R01,1,5773048787540275994,HLHHLLL-Z
118,HLHHLLL-Z,R02,2,716734433603124008,HLHHLLL-Z
119,HLHHLLL-Z,R03,3,10288364847355685632,HLHHLLL-Z
120,HLHLHHH-Z,R01,1,16031262731505261362,HLHLHHH-Z
121,HLHLHHH-Z,R02,2,16154565786388863320,HLHLHHH-Z
122,HLHLHHH-Z,R03,3,9900483776925472247,HLHLHHH-Z
123,HLHLHHL-Z,R01,1,15312349130086024343,HLHLHHL-Z
124,HLHLHHL-Z,R02,2,11328746869530590589,HLHLHHL-Z
125,HLHLHHL-Z,R03,3,7740219768438599355,HLHLHHL-Z
126,HLHLHLH-Z,R01,1,10559148130121423874,HLHLHLH-Z
127,HLHLHLH-Z,R02,2,16275754648724270466,HLHLHLH-Z
128,HLHLHLH-Z,R03,3,1895627403082136750,HLHLHLH-Z
129,HLHLHLL-Z,R01,1,5555473203878158009,HLHLHLL-Z
130,HLHLHLL-Z,R02,2,7591517690229370790,HLHLHLL-Z
131,HLHLHLL-Z,R03,3,14575426364123461451,HLHLHLL-Z
132,HLHLLHH-Z,R01,1,8465500401169329320,HLHLLHH-Z
133,HLHLLHH-Z,R02,2,3241807169214363435,HLHLLHH-Z
134,HLHLLHH-Z,R03,3,1046838734410883028,HLHLLHH-Z
135,HLHLLHL-Z,R01,1,2282610934302677481,HLHLLHL-Z
136,HLHLLHL-Z,R02,2,8038320315970645080,HLHLLHL-Z
137,HLHLLHL-Z,R03,3,16126818976012979347,HLHLLHL-Z
138,HLHLLLH-Z,R01,1,459035098348178433,HLHLLLH-Z
139,HLHLLLH-Z,R02,2,419533309766641259,HLHLLLH-Z
140,HLHLLLH-Z,R03,3,11332679065108010078,HLHLLLH-Z
141,HLHLLLL-Z,R01,1,16892646171569232396,HLHLLLL-Z
142,HLHLLLL-Z,R02,2,15029425239560086178,HLHLLLL-Z
143,HLHLLLL-Z,R03,3,16613634310686284182,HLHLLLL-Z
144,HLLHHHH-Z,R01,1,12047670805065696944,HLLHHHH-Z
145,HLLHHHH-Z,R02,2,5192116325740346119,HLLHHHH-Z
146,HLLHHHH-Z,R03,3,14301942256921542832,HLLHHHH-Z
147,HLLHHHL-Z,R01,1,16416226581816596169,HLLHHHL-Z
148,HLLHHHL-Z,R02,2,12501581005073345363,HLLHHHL-Z
149,HLLHHHL-Z,R03,3,2794057513172729961,HLLHHHL-Z
150,HLLHHLH-Z,R01,1,17640269134495665124,HLLHHLH-Z
151,HLLHHLH-Z,R02,2,4874019168511713082,HLLHHLH-Z
152,HLLHHLH-Z,R03,3,13058306202610394185,HLLHHLH-Z
153,HLLHHLL-Z,R01,1,9043440580941790909,HLLHHLL-Z
154,HLLHHLL-Z,R02,2,7554042238210627791,HLLHHLL-Z
155,HLLHHLL-Z,R03,3,12781757743483565397,HLLHHLL-Z
156,HLLHLHH-Z,R01,1,12006096497884616,HLLHLHH-Z
157,HLLHLHH-Z,R02,2,9569962657682785209,HLLHLHH-Z
158,HLLHLHH-Z,R03,3,16730296529483028222,HLLHLHH-Z
159,HLLHLHL-Z,R01,1,17808039283153895431,HLLHLHL-Z
160,HLLHLHL-Z,R02,2,13676161899952534869,HLLHLHL-Z
161,HLLHLHL-Z,R03,3,4813339696824535080,HLLHLHL-Z
162,HLLHLLH-Z,R01,1,14167980297976508992,HLLHLLH-Z
163,HLLHLLH-Z,R02,2,11533768387300473363,HLLHLLH-Z
164,HLLHLLH-Z,R03,3,1317931277506747407,HLLHLLH-Z
165,HLLHLLL-Z,R01,1,5847079334154611469,HLLHLLL-Z
166,HLLHLLL-Z,R02,2,13495177713947550940,HLLHLLL-Z
167,HLLHLLL-Z,R03,3,4840264955739906384,HLLHLLL-Z
168,HLLLHHH-Z,R01,1,18358571084970342167,HLLLHHH-Z
169,HLLLHHH-Z,R02,2,9740925440116033018,HLLLHHH-Z
170,HLLLHHH-Z,R03,3,14691705211132358790,HLLLHHH-Z
171,HLLLHHL-Z,R01,1,2787669060992559930,HLLLHHL-Z
172,HLLLHHL-Z,R02,2,14447922993561287943,HLLLHHL-Z
173,HLLLHHL-Z,R03,3,12025811089306286466,HLLLHHL-Z
174,HLLLHLH-Z,R01,1,12121632899772424771,HLLLHLH-Z
175,HLLLHLH-Z,R02,2,9030968534827496189,HLLLHLH-Z
176,HLLLHLH-Z,R03,3,13915710059577427387,HLLLHLH-Z
177,HLLLHLL-Z,R01,1,4464177402489272316,HLLLHLL-Z
178,HLLLHLL-Z,R02,2,9619238058087869638,HLLLHLL-Z
179,HLLLHLL-Z,R03,3,15772319465564806796,HLLLHLL-Z
180,HLLLLHH-Z,R01,1,15747465019777086410,HLLLLHH-Z
181,HLLLLHH-Z,R02,2,15414177626320437819,HLLLLHH-Z
182,HLLLLHH-Z,R03,3,4220753505493130489,HLLLLHH-Z
183,HLLLLHL-Z,R01,1,5665869583120971097,HLLLLHL-Z
184,HLLLLHL-Z,R02,2,9635111890341092586,HLLLLHL-Z
185,HLLLLHL-Z,R03,3,4447915881787116262,HLLLLHL-Z
186,HLLLLLH-Z,R01,1,9487270881881507109,HLLLLLH-Z
187,HLLLLLH-Z,R02,2,15205291339554918221,HLLLLLH-Z
188,HLLLLLH-Z,R03,3,9381361489882843800,HLLLLLH-Z
189,HLLLLLL-Z,R01,1,2378314601435548478,HLLLLLL-Z
190,HLLLLLL-Z,R02,2,16464736069911799282,HLLLLLL-Z
191,HLLLLLL-Z,R03,3,2731489702416622044,HLLLLLL-Z
192,LHHHHHH-Z,R01,1,17561439704258569571,LHHHHHH-Z
193,LHHHHHH-Z,R02,2,8994305803945812873,LHHHHHH-Z
194,LHHHHHH-Z,R03,3,7355319065730538906,LHHHHHH-Z
195,LHHHHHL-Z,R01,1,13217763435448136421,LHHHHHL-Z
196,LHHHHHL-Z,R02,2,12096579447121587690,LHHHHHL-Z
197,LHHHHHL-Z,R03,3,3257164260489474038,LHHHHHL-Z
198,LHHHHLH-Z,R01,1,11389610436957771593,LHHHHLH-Z
199,LHHHHLH-Z,R02,2,8668782016757204263,LHHHHLH-Z
200,LHHHHLH-Z,R03,3,12644851211473124713,LHHHHLH-Z
201,LHHHHLL-Z,R01,1,5365409002572197144,LHHHHLL-Z
202,LHHHHLL-Z,R02,2,2054340500837564815,LHHHHLL-Z
203,LHHHHLL-Z,R03,3,14168115277490306841,LHHHHLL-Z
204,LHHHLHH-Z,R01,1,3047185612320314222,LHHHLHH-Z
205,LHHHLHH-Z,R02,2,16136172931249226138,LHHHLHH-Z
206,LHHHLHH-Z,R03,3,2264752791381048080,LHHHLHH-Z
207,LHHHLHL-Z,R01,1,10681803475853514743,LHHHLHL-Z
208,LHHHLHL-Z,R02,2,8080782994327860289,LHHHLHL-Z
209,LHHHLHL-Z,R03,3,5677497627737746505,LHHHLHL-Z
210,LHHHLLH-Z,R01,1,16479553618173241067,LHHHLLH-Z
211,LHHHLLH-Z,R02,2,9354149642228634699,LHHHLLH-Z
212,LHHHLLH-Z,R03,3,10804246874793869648,LHHHLLH-Z
213,LHHHLLL-Z,R01,1,12421266072121232658,LHHHLLL-Z
214,LHHHLLL-Z,R02,2,18076838264473234756,LHHHLLL-Z
215,LHHHLLL-Z,R03,3,4861745662063271269,LHHHLLL-Z
216,LHHLHHH-Z,R01,1,10336307910069363377,LHHLHHH-Z
217,LHHLHHH-Z,R02,2,14819741988603149243,LHHLHHH-Z
218,LHHLHHH-Z,R03,3,12267353393438547091,LHHLHHH-Z
219,LHHLHHL-Z,R01,1,6237916652834654809,LHHLHHL-Z
220,LHHLHHL-Z,R02,2,3202649282948522442,LHHLHHL-Z
221,LHHLHHL-Z,R03,3,523461397876979528,LHHLHHL-Z
222,LHHLHLH-Z,R01,1,7992451540594239553,LHHLHLH-Z
223,LHHLHLH-Z,R02,2,4442992160710806587,LHHLHLH-Z
224,LHHLHLH-Z,R03,3,16075539041532374995,LHHLHLH-Z
225,LHHLHLL-Z,R01,1,2584408088629922372,LHHLHLL-Z
226,LHHLHLL-Z,R02,2,15714476127186349316,LHHLHLL-Z
227,LHHLHLL-Z,R03,3,11897688906541782506,LHHLHLL-Z
228,LHHLLHH-Z,R01,1,6237327276537499935,LHHLLHH-Z
229,LHHLLHH-Z,R02,2,9545147254677140448,LHHLLHH-Z
230,LHHLLHH-Z,R03,3,4996829821151954903,LHHLLHH-Z
231,LHHLLHL-Z,R01,1,16412056212644687190,LHHLLHL-Z
232,LHHLLHL-Z,R02,2,2215896929943054774,LHHLLHL-Z
233,LHHLLHL-Z,R03,3,12254629409748432586,LHHLLHL-Z
234,LHHLLLH-Z,R01,1,14169196933661982252,LHHLLLH-Z
235,LHHLLLH-Z,R02,2,9703343683852743649,LHHLLLH-Z
236,LHHLLLH-Z,R03,3,4611067988299806473,LHHLLLH-Z
237,LHHLLLL-Z,R01,1,9553323655201095780,LHHLLLL-Z
238,LHHLLLL-Z,R02,2,17073477781087037815,LHHLLLL-Z
239,LHHLLLL-Z,R03,3,6690497876316772928,LHHLLLL-Z
240,LHLHHHH-Z,R01,1,13235467436271553458,LHLHHHH-Z
241,LHLHHHH-Z,R02,2,1104952015698517150,LHLHHHH-Z
242,LHLHHHH-Z,R03,3,16631775522120049212,LHLHHHH-Z
243,LHLHHHL-Z,R01,1,18146508268676286518,LHLHHHL-Z
244,LHLHHHL-Z,R02,2,17316092270788069187,LHLHHHL-Z
245,LHLHHHL-Z,R03,3,11807173631855422025,LHLHHHL-Z
246,LHLHHLH-Z,R01,1,11732583211488749414,LHLHHLH-Z
247,LHLHHLH-Z,R02,2,16802370276540714937,LHLHHLH-Z
248,LHLHHLH-Z,R03,3,6260731270503199202,LHLHHLH-Z
249,LHLHHLL-Z,R01,1,1262744062412913980,LHLHHLL-Z
250,LHLHHLL-Z,R02,2,1568066499542689805,LHLHHLL-Z
251,LHLHHLL-Z,R03,3,927991478834451020,LHLHHLL-Z
252,LHLHLHH-Z,R01,1,17086978573478637677,LHLHLHH-Z
253,LHLHLHH-Z,R02,2,15968114073926282604,LHLHLHH-Z
254,LHLHLHH-Z,R03,3,4046018498622978112,LHLHLHH-Z
255,LHLHLHL-Z,R01,1,5902800033114903708,LHLHLHL-Z
256,LHLHLHL-Z,R02,2,15211666159778064011,LHLHLHL-Z
257,LHLHLHL-Z,R03,3,16643464718289669919,LHLHLHL-Z
258,LHLHLLH-Z,R01,1,3908520737512518370,LHLHLLH-Z
259,LHLHLLH-Z,R02,2,12374510807277274571,LHLHLLH-Z
260,LHLHLLH-Z,R03,3,9602533597328796568,LHLHLLH-Z
261,LHLHLLL-Z,R01,1,14981656107610659347,LHLHLLL-Z
262,LHLHLLL-Z,R02,2,6340795945512223811,LHLHLLL-Z
263,LHLHLLL-Z,R03,3,6229139409807294309,LHLHLLL-Z
264,LHLLHHH-Z,R01,1,17379510617774482639,LHLLHHH-Z
265,LHLLHHH-Z,R02,2,17399715737882613687,LHLLHHH-Z
266,LHLLHHH-Z,R03,3,16358438011121556727,LHLLHHH-Z
267,LHLLHHL-Z,R01,1,17571896238356613800,LHLLHHL-Z
268,LHLLHHL-Z,R02,2,3837806602091351288,LHLLHHL-Z
269,LHLLHHL-Z,R03,3,2253567286957383828,LHLLHHL-Z
270,LHLLHLH-Z,R01,1,11640589279239666260,LHLLHLH-Z
271,LHLLHLH-Z,R02,2,8082532298280615294,LHLLHLH-Z
272,LHLLHLH-Z,R03,3,7091071289123232072,LHLLHLH-Z
273,LHLLHLL-Z,R01,1,9185849747516232808,LHLLHLL-Z
274,LHLLHLL-Z,R02,2,2603752184637691163,LHLLHLL-Z
275,LHLLHLL-Z,R03,3,10377149135083034309,LHLLHLL-Z
276,LHLLLHH-Z,R01,1,4895504319040934119,LHLLLHH-Z
277,LHLLLHH-Z,R02,2,1548455470869632591,LHLLLHH-Z
278,LHLLLHH-Z,R03,3,457510914988224309,LHLLLHH-Z
279,LHLLLHL-Z,R01,1,207316348321881101,LHLLLHL-Z
280,LHLLLHL-Z,R02,2,9091935815548489645,LHLLLHL-Z
281,LHLLLHL-Z,R03,3,2265416029769214597,LHLLLHL-Z
282,LHLLLLH-Z,R01,1,5959031025982759431,LHLLLLH-Z
283,LHLLLLH-Z,R02,2,12119070978717163504,LHLLLLH-Z
284,LHLLLLH-Z,R03,3,6204860667586365637,LHLLLLH-Z
285,LHLLLLL-Z,R01,1,2319130225227213340,LHLLLLL-Z
286,LHLLLLL-Z,R02,2,875908677963124517,LHLLLLL-Z
287,LHLLLLL-Z,R03,3,17821187519097668054,LHLLLLL-Z
288,LLHHHHH-Z,R01,1,12714097914983353479,LLHHHHH-Z
289,LLHHHHH-Z,R02,2,2637911462453207802,LLHHHHH-Z
290,LLHHHHH-Z,R03,3,7197155525356670142,LLHHHHH-Z
291,LLHHHHL-Z,R01,1,4573083992382142837,LLHHHHL-Z
292,LLHHHHL-Z,R02,2,7267308936592623537,LLHHHHL-Z
293,LLHHHHL-Z,R03,3,17266714184364213867,LLHHHHL-Z
294,LLHHHLH-Z,R01,1,16702458739409642940,LLHHHLH-Z
295,LLHHHLH-Z,R02,2,2225724287899110577,LLHHHLH-Z
296,LLHHHLH-Z,R03,3,8291914828148447630,LLHHHLH-Z
297,LLHHHLL-Z,R01,1,14924539610448190312,LLHHHLL-Z
298,LLHHHLL-Z,R02,2,16117630801558807827,LLHHHLL-Z
299,LLHHHLL-Z,R03,3,16856428623315662505,LLHHHLL-Z
300,LLHHLHH-Z,R01,1,5074906680780213671,LLHHLHH-Z
301,LLHHLHH-Z,R02,2,4235872239236005141,LLHHLHH-Z
302,LLHHLHH-Z,R03,3,17646032452963271844,LLHHLHH-Z
303,LLHHLHL-Z,R01,1,6316890269091799883,LLHHLHL-Z
304,LLHHLHL-Z,R02,2,383189788308063718,LLHHLHL-Z
305,LLHHLHL-Z,R03,3,13565538979390342295,LLHHLHL-Z
306,LLHHLLH-Z,R01,1,6933723288140032608,LLHHLLH-Z
307,LLHHLLH-Z,R02,2,16919084749592459388,LLHHLLH-Z
308,LLHHLLH-Z,R03,3,5822418680314598635,LLHHLLH-Z
309,LLHHLLL-Z,R01,1,8658561608930435929,LLHHLLL-Z
310,LLHHLLL-Z,R02,2,8297186409971813171,LLHHLLL-Z
311,LLHHLLL-Z,R03,3,1166207370780747368,LLHHLLL-Z
312,LLHLHHH-Z,R01,1,12613173739777559254,LLHLHHH-Z
313,LLHLHHH-Z,R02,2,4565429883736839339,LLHLHHH-Z
314,LLHLHHH-Z,R03,3,9510567271303547621,LLHLHHH-Z
315,LLHLHHL-Z,R01,1,9322604777464928018,LLHLHHL-Z
316,LLHLHHL-Z,R02,2,14445362511427478936,LLHLHHL-Z
317,LLHLHHL-Z,R03,3,11539995579099627430,LLHLHHL-Z
318,LLHLHLH-Z,R01,1,5808665998793931523,LLHLHLH-Z
319,LLHLHLH-Z,R02,2,3283407094143577216,LLHLHLH-Z
320,LLHLHLH-Z,R03,3,15101481801600572277,LLHLHLH-Z
321,LLHLHLL-Z,R01,1,7864509946425171045,LLHLHLL-Z
322,LLHLHLL-Z,R02,2,999250302151480636,LLHLHLL-Z
323,LLHLHLL-Z,R03,3,1865409549972204554,LLHLHLL-Z
324,LLHLLHH-Z,R01,1,4398731848550254330,LLHLLHH-Z
325,LLHLLHH-Z,R02,2,9099063776560850587,LLHLLHH-Z
326,LLHLLHH-Z,R03,3,11890788917590786505,LLHLLHH-Z
327,LLHLLHL-Z,R01,1,11962428290700250690,LLHLLHL-Z
328,LLHLLHL-Z,R02,2,6963411166749688953,LLHLLHL-Z
329,LLHLLHL-Z,R03,3,7840294336172793460,LLHLLHL-Z
330,LLHLLLH-Z,R01,1,15593809042944528510,LLHLLLH-Z
331,LLHLLLH-Z,R02,2,2903171098684458531,LLHLLLH-Z
332,LLHLLLH-Z,R03,3,11157193329936672451,LLHLLLH-Z
333,LLHLLLL-Z,R01,1,472615701398110980,LLHLLLL-Z
334,LLHLLLL-Z,R02,2,7981394726163330384,LLHLLLL-Z
335,LLHLLLL-Z,R03,3,5531668603784380319,LLHLLLL-Z
336,LLLHHHH-Z,R01,1,13737490170218850819,LLLHHHH-Z
337,LLLHHHH-Z,R02,2,2850881181212187849,LLLHHHH-Z
338,LLLHHHH-Z,R03,3,6393864115873786318,LLLHHHH-Z
339,LLLHHHL-Z,R01,1,6508827844335974401,LLLHHHL-Z
340,LLLHHHL-Z,R02,2,9006038614531639969,LLLHHHL-Z
341,LLLHHHL-Z,R03,3,7907335794723018683,LLLHHHL-Z
342,LLLHHLH-Z,R01,1,12849223208395378947,LLLHHLH-Z
343,LLLHHLH-Z,R02,2,3082842409863931424,LLLHHLH-Z
344,LLLHHLH-Z,R03,3,2558774397998402412,LLLHHLH-Z
345,LLLHHLL-Z,R01,1,10577295587109046995,LLLHHLL-Z
346,LLLHHLL-Z,R02,2,8786592472566451300,LLLHHLL-Z
347,LLLHHLL-Z,R03,3,10688754828976443856,LLLHHLL-Z
348,LLLHLHH-Z,R01,1,15363109099829232767,LLLHLHH-Z
349,LLLHLHH-Z,R02,2,9714391261075712648,LLLHLHH-Z
350,LLLHLHH-Z,R03,3,10951226413692852925,LLLHLHH-Z
351,LLLHLHL-Z,R01,1,4925210261063688023,LLLHLHL-Z
352,LLLHLHL-Z,R02,2,2938742909496495583,LLLHLHL-Z
353,LLLHLHL-Z,R03,3,17338914117071391770,LLLHLHL-Z
354,LLLHLLH-Z,R01,1,6142683214136835261,LLLHLLH-Z
355,LLLHLLH-Z,R02,2,8942342106075828037,LLLHLLH-Z
356,LLLHLLH-Z,R03,3,12875669427583385886,LLLHLLH-Z
357,LLLHLLL-Z,R01,1,2223666911743199518,LLLHLLL-Z
358,LLLHLLL-Z,R02,2,5726791105929653868,LLLHLLL-Z
359,LLLHLLL-Z,R03,3,4122256825049181399,LLLHLLL-Z
360,LLLLHHH-Z,R01,1,8233266203202026655,LLLLHHH-Z
361,LLLLHHH-Z,R02,2,82302035454295979,LLLLHHH-Z
362,LLLLHHH-Z,R03,3,8369162424291707116,LLLLHHH-Z
363,LLLLHHL-Z,R01,1,2677040565616028010,LLLLHHL-Z
364,LLLLHHL-Z,R02,2,9790744170881493194,LLLLHHL-Z
365,LLLLHHL-Z,R03,3,4610782638188296948,LLLLHHL-Z
366,LLLLHLH-Z,R01,1,5410740913576293659,LLLLHLH-Z
367,LLLLHLH-Z,R02,2,8789704940507311713,LLLLHLH-Z
368,LLLLHLH-Z,R03,3,13542980877806538936,LLLLHLH-Z
369,LLLLHLL-Z,R01,1,11213071636027630560,LLLLHLL-Z
370,LLLLHLL-Z,R02,2,16711203968471628522,LLLLHLL-Z
371,LLLLHLL-Z,R03,3,5761448502455372047,LLLLHLL-Z
372,LLLLLHH-Z,R01,1,16169693101091623282,LLLLLHH-Z
373,LLLLLHH-Z,R02,2,6857661343875760244,LLLLLHH-Z
374,LLLLLHH-Z,R03,3,7335708506489397770,LLLLLHH-Z
375,LLLLLHL-Z,R01,1,11242044201700746174,LLLLLHL-Z
376,LLLLLHL-Z,R02,2,4676744533511667371,LLLLLHL-Z
